Title,Lenght,Other
Data Scientist,3,['Senior']
Data Scientist,4,"['Clearance', 'Required']"
Data Scientist,3,['Principal']
Data Scientist,2,[]
Data Scientist,4,"['EG', '']"
Data Scientist,2,[]
Data Scientist,3,['Senior']
Data Scientist,4,"['Secret', 'Clearance']"
Data Scientist,2,[]
Data Scientist,6,"['Senior', 'TS', 'SCI', '']"
Scientist Data Scientist,7,"['Senior', 'Research', 'Machine', 'Learning']"
Data Scientist,7,"['Journeyman', 'TS', 'SCI', 'with', 'Poly']"
Data Scientist,4,"['Senior', 'Outreach']"
Data Scientist,4,"['Senior', '']"
Data Scientist,10,"['with', 'Machine', 'Learning', 'Senior', 'TS', 'SCI', 'with', 'Poly']"
Data Scientist,8,"['SME', 'TS', 'SCI', 'w', 'Poly', 'Required']"
Data Scientist,3,['Research']
Data Scientist,2,[]
Data Scientist,3,['1']
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Statistician']
Data Scientist,6,"['Artificial', 'Intelligence', 'Machine', 'Learning']"
Data Scientist,5,"['Subject', 'Matter', 'Expert']"
Data Scientist,3,['Chief']
Data Scientist,4,"['Clearance', 'Required']"
Data Scientist,2,[]
Data Scientist,5,"['Mid', 'Level', '']"
Data Scientist,5,"['Senior', 'DIAP', '']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Political']
Data Scientist,4,"['Health', 'Analytics']"
Data Scientist,4,"['Tableau', 'Specialist']"
Data Scientist,5,"['Machine', 'Learning', 'Engineer']"
Data Scientist Data,8,"['Mid', 'level', 'Analyst', 'SAS', '']"
Data Scientist,2,[]
Data Scientist,6,"['Skill', 'Level', '2', '']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist Data,6,"['SAS', 'Analyst', 'Analyst']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,6,"['Active', 'TS', 'SCI', 'Required']"
Data Scientist,4,"['Senior', 'Genomic']"
Data Scientist,3,['Principal']
Data Scientist,10,"['Chief', 'Up', 'to', '25', 'Profit', 'Sharing', 'Benefit', '']"
Data Scientist,4,"['Senior', 'Oncology']"
Data Scientist,3,['Senior']
Data Scientist,8,"['Senior', 'TS', 'SCI', 'Poly', 'required', '']"
Data Scientist,7,"['Enterprise', 'Architect', 'Task', '2', 'FTBLV']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,8,"['Supply', 'Chain', 'GS', '13', 'Equivalent', '']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,4,"['Public', 'Sector']"
Data Scientist,5,"['Sr', 'Finance', 'Operations']"
Data Scientist,3,['Senior']
Data Scientist,6,"['Senior', 'Global', 'Finance', 'Operations']"
Data Scientist,3,['Senior']
Data Scientist,4,"['Technical', 'Specialist']"
Data Scientist,7,"['ISR', 'Mission', 'Analytics', 'TS', 'SCI']"
Data Scientist,5,"['Subject', 'Matter', 'Expert']"
Data Scientist,3,['Senior']
Data Data Scientist,10,"['Visualization', 'Developer', 'TS', 'SCI', 'w', 'Poly', '']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,4,"['Statistician', 'IV']"
Data Scientist,4,"['Nationwide', 'Opportunities']"
Data Scientist,3,['Principal']
Data Scientist,8,"['Must', 'have', 'an', 'active', 'TS', 'clearance']"
Data Scientist,5,"['Senior', 'Nationwide', 'Opportunities']"
Data Scientist,7,"['Sprint', 'Team', 'SME', 'Government', '']"
Data Scientist,7,"['Intelligence', 'Analyst', 'III', '669524', '']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,5,"['Semantic', 'Web', 'Linked']"
Data Scientist,4,"['Full', 'Stack']"
Data Scientist,3,['Senior']
Data Scientist,4,"['Secret', 'Clearance']"
Data Scientist,3,['Lead']
Data Scientist,2,[]
Data Scientist,6,"['Senior', 'Life', 'Sciences', 'Company']"
Data Scientist,3,['Sr']
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Evergreen']
Data Scientist,3,['BSLEF8']
Data Scientist,3,['Senior']
Data Scientist,2,[]
Data Scientist,3,['Lead']
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Instructor']
Data Scientist,6,"['TOP', 'SECRET', 'CLEARANCE', 'REQUIRED']"
Data Scientist,8,"['Adversarial', 'Machine', 'Learning', 'for', 'Cyber', 'Exploitation']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Senior']
Data Scientist,4,"['Outreach', 'Coordinator']"
Data Scientist,2,[]
Data Scientist,5,"['Advanced', 'Analytics', 'Research']"
Data Scientist,9,"['ISR', 'Modeling', 'and', 'Simulation', 'SME', 'MV', '']"
Data Scientist,3,['Intern']
Data Scientist,3,['Neural']
Data Scientist,2,[]
Data Scientist,3,['Jr']
Data Scientist,4,"['PM', 'Sr']"
Data Scientist,3,['Senior']
Data Scientist,6,"['CCDB', 'Mid', 'Level', '']"
Data Scientist,3,['Senior']
Data Scientist,3,['Senior']
Data Scientist,3,['Senior']
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Senior']
Data Scientist,5,"['Post', 'Doctoral', 'Planetary']"
Data Scientist,3,['Senior']
Data Scientist Data,4,['Architect']
Data Scientist,3,['Senior']
Data Data Scientist,4,['Modeler']
Data Scientist,4,"['Intelligence', 'Analyst']"
Data Scientist,2,[]
Data Scientist,5,"['Operations', 'Research', 'Lead']"
Data Scientist,2,[]
Data Scientist,2,[]
Data Scientist,3,['Associate']
Data Scientist,2,[]
Data Scientist,3,['Chief']
Data Scientist,4,"['Architect', 'Senior']"
Data Scientist,2,[]
Data Scientist Data Scientist,6,"['Lead', 'DC']"
Data Scientist,2,[]
